날짜,PM10,SO2,CO,O3,NO2
2012-05-19,48.625,0.012,0.608,0.012,0.063
2012-05-20,48.125,0.009,0.546,0.028,0.045
2012-05-21,37.167,0.006,0.504,0.033,0.038
2012-05-22,34.958,0.01,0.517,0.025,0.047
2012-05-24,69.625,0.016,0.675,0.018,0.071
2012-05-25,49.458,0.009,0.55,0.013,0.051
2012-05-26,67.875,0.014,0.583,0.031,0.059
2012-05-27,71.042,0.012,0.708,0.024,0.072
2012-05-28,51.583,0.007,0.521,0.023,0.042
2012-05-29,48.708,0.009,0.487,0.016,0.043
2012-05-30,39.5,0.006,0.45,0.021,0.037
2012-06-01,44.708,0.011,0.529,0.013,0.039
2012-06-02,35.917,0.007,0.487,0.018,0.035
2012-06-03,31.167,0.005,0.408,0.024,0.028
2012-06-04,53.208,0.012,0.554,0.013,0.044
2012-06-05,46.542,0.016,0.533,0.008,0.047
2012-06-06,46.625,0.009,0.467,0.019,0.038
2012-06-08,28.417,0.004,0.496,0.016,0.039
2012-06-09,42.083,0.008,0.55,0.012,0.039
2012-06-10,32.458,0.005,0.446,0.025,0.028
2012-06-11,46.333,0.009,0.492,0.017,0.035
2012-06-13,33.458,0.007,0.504,0.013,0.03
2012-06-14,35.5,0.007,0.471,0.014,0.03
2012-06-15,30.833,0.005,0.496,0.014,0.034
2012-06-16,27.75,0.006,0.442,0.017,0.036
2012-06-17,48.25,0.008,0.554,0.02,0.041
2012-06-18,37.958,0.006,0.567,0.011,0.043
2012-06-19,14.5,0.004,0.467,0.014,0.028
2012-06-21,37.792,0.005,0.492,0.021,0.032
2012-06-22,32.708,0.012,0.442,0.013,0.035
2012-06-24,31.458,0.007,0.458,0.018,0.029
2012-06-25,28.5,0.005,0.404,0.02,0.026
2012-06-27,19.792,0.005,0.417,0.013,0.025
2012-06-28,32.5,0.004,0.425,0.017,0.027
2012-06-29,44.375,0.01,0.446,0.013,0.034
2012-06-30,27.167,0.004,0.371,0.006,0.019
2012-07-02,46.75,0.009,0.629,0.012,0.037
2012-07-03,33.625,0.008,0.554,0.012,0.033
2012-07-05,30.167,0.008,0.479,0.007,0.028
2012-07-06,32,0.005,0.446,0.005,0.025
2012-07-07,27.208,0.007,0.579,0.011,0.033
2012-07-08,32.5,0.011,0.479,0.01,0.026
2012-07-09,64.917,0.007,0.654,0.015,0.042
2012-07-10,49.833,0.011,0.55,0.014,0.042
2012-07-12,60.708,0.009,0.733,0.01,0.036
2012-07-14,32.333,0.008,0.571,0.005,0.032
2012-07-15,19.667,0.003,0.35,0.008,0.015
2012-07-16,35.125,0.009,0.467,0.006,0.021
2012-07-17,39.208,0.01,0.537,0.006,0.022
2012-07-19,42.042,0.006,0.438,0.006,0.029
2012-07-20,38,0.008,0.496,0.007,0.027
2012-07-21,37.958,0.009,0.496,0.008,0.03
2012-07-22,38.25,0.008,0.438,0.01,0.025
2012-07-24,32.167,0.008,0.483,0.004,0.021
2012-07-25,49.917,0.01,0.575,0.004,0.033
2012-07-26,56.542,0.011,0.621,0.008,0.04
2012-07-27,32.625,0.007,0.413,0.007,0.021
2012-07-28,26.083,0.007,0.487,0.009,0.026
2012-07-29,23.458,0.009,0.467,0.005,0.023
2012-07-30,18.125,0.007,0.408,0.005,0.017
2012-07-31,39.292,0.018,0.529,0.005,0.025
2012-08-01,38.958,0.007,0.446,0.009,0.023
2012-08-03,29.625,0.005,0.388,0.009,0.016
2012-08-04,40.708,0.006,0.408,0.015,0.018
2012-08-05,29.75,0.006,0.367,0.017,0.015
2012-08-06,29.458,0.009,0.458,0.01,0.018
2012-08-07,29.542,0.007,0.475,0.012,0.019
2012-08-08,23.792,0.005,0.446,0.014,0.018
2012-08-10,49.125,0.012,0.592,0.018,0.028
2012-08-11,33.792,0.008,0.5,0.016,0.019
2012-08-12,33.083,0.008,0.396,0.011,0.013
2012-08-13,30.708,0.005,0.417,0.009,0.012
2012-08-14,26.375,0.005,0.521,0.013,0.017
2012-08-15,26.25,0.005,0.337,0.007,0.007
2012-08-17,41,0.011,0.529,0.007,0.038
2012-08-18,35.708,0.009,0.421,0.007,0.034
2012-08-19,24.167,0.007,0.342,0.007,0.03
2012-08-20,29.917,0.007,0.408,0.007,0.032
2012-08-21,32.5,0.008,0.433,0.007,0.034
2012-08-23,20.042,0.005,0.546,0.006,0.033
2012-08-25,34.083,0.005,0.487,0.01,0.032
2012-08-26,32.208,0.006,0.433,0.011,0.031
2012-08-27,27.75,0.005,0.417,0.011,0.03
2012-08-28,44.417,0.004,0.333,0.014,0.029
2012-08-29,61.542,0.006,0.513,0.014,0.032
2012-09-01,43.5,0.007,0.521,0.016,0.055
2012-09-02,42.25,0.007,0.471,0.017,0.038
2012-09-05,26.042,0.006,0.438,0.011,0.035
2012-09-06,47.458,0.009,0.567,0.017,0.046
2012-09-07,29.458,0.006,0.504,0.018,0.036
2012-09-08,24.583,0.006,0.438,0.012,0.029
2012-09-09,20.542,0.004,0.483,0.015,0.031
2012-09-10,17.667,0.004,0.554,0.013,0.03
2012-09-11,20.958,0.005,0.5,0.016,0.028
2012-09-13,42.292,0.013,0.533,0.009,0.053
2012-09-20,48.25,0.006,0.583,0.022,0.047
2012-09-21,60.333,0.008,0.742,0.013,0.062
2012-09-22,73.375,0.011,0.717,0.019,0.067
2012-09-23,45.292,0.006,0.571,0.018,0.035
2012-09-24,32.5,0.006,0.558,0.016,0.037
2012-09-26,25.083,0.005,0.438,0.015,0.032
2012-09-27,22.792,0.005,0.458,0.014,0.032
2012-09-28,30.75,0.007,0.517,0.011,0.042
2012-09-29,27.333,0.004,0.417,0.022,0.021
2012-09-30,19.167,0.005,0.458,0.02,0.023
2012-10-01,20.583,0.007,0.513,0.017,0.031
2012-10-02,19.5,0.005,0.475,0.012,0.033
2012-10-03,20.458,0.004,0.408,0.02,0.022
2012-10-04,21.708,0.006,0.475,0.013,0.035
2012-10-07,36.542,0.005,0.462,0.018,0.029
2012-10-08,24.292,0.004,0.429,0.016,0.032
2012-10-09,23.875,0.005,0.429,0.014,0.034
2012-10-11,37.875,0.005,0.458,0.019,0.03
2012-10-12,29.167,0.004,0.467,0.013,0.036
2012-10-13,37.792,0.007,0.567,0.011,0.05
2012-10-14,60.875,0.006,0.613,0.017,0.051
2012-10-15,43.542,0.005,0.471,0.02,0.034
2012-10-16,35.167,0.005,0.467,0.016,0.031
2012-10-20,78,0.008,0.792,0.016,0.059
2012-10-21,70.958,0.011,0.775,0.016,0.061
2012-10-22,42.625,0.006,0.637,0.014,0.042
2012-10-23,23.042,0.004,0.379,0.025,0.024
2012-10-26,50.833,0.006,0.671,0.01,0.051
2012-10-27,27.083,0.005,0.525,0.012,0.04
2012-10-28,27.75,0.005,0.483,0.02,0.026
2012-10-30,34.417,0.006,0.475,0.016,0.031
2012-10-31,32.625,0.005,0.454,0.016,0.03
2012-11-01,25.583,0.004,0.375,0.018,0.025
2012-11-02,27.542,0.006,0.462,0.012,0.036
2012-11-03,34.75,0.005,0.571,0.008,0.043
2012-11-04,22.958,0.005,0.4,0.015,0.032
2012-11-05,44,0.006,0.479,0.013,0.033
2012-11-06,27.583,0.006,0.554,0.018,0.027
2012-11-08,76,0.009,0.592,0.021,0.031
2012-11-09,84.542,0.009,0.625,0.013,0.037
2012-11-10,37.875,0.005,0.388,0.018,0.023
2012-11-11,18.958,0.005,0.404,0.015,0.019
2012-11-12,41.25,0.006,0.375,0.016,0.02
2012-11-13,36.125,0.008,0.404,0.016,0.021
2012-11-14,19.75,0.004,0.363,0.015,0.017
2012-11-20,28.958,0.005,0.425,0.013,0.026
2012-11-21,42.583,0.007,0.683,0.005,0.042
2012-11-24,41.25,0.005,0.446,0.014,0.026
